name	address
Ecole fondamentale communale Pierre Coran	Chemin du Prince 115, 7050, Belgium
Ecole communale d'Herchies	Rue de Baudour 4, 7050, Belgium
Ecole fondamentale autonome de Jurbise	Rue du Moustier 3, 7050, Belgium
Ecole fondamentale communale	Rue du Bois de Genly ,, 7050, Belgium
Ecole fondamentale paroissiale Saint-Martin	Rue du Pontin 30, 7060, Belgium
Ecole communale fondamentale de la Ville	Place Van Zeeland 33, 7060, Belgium
Ecole fondamentale annexée Jules Bordet - Soignies	Rue Léon Hachez 36, 7060, Belgium
Ecole fondamentale libre	Rue Général Henry 27B, 7060, Belgium
Ecole fondamentale libre Saint-Vincent	Rue de Steenkerque 21, 7060, Belgium
Ecole fondamentale libre Saint-Vincent	Rue Félix Eloy 6, 7060, Belgium
Ecole fondamentale communale	Rue de la Motte 15, 7061, Belgium
Ecole fondamentale communale	Rue de la Place 21-25, 7062, Belgium
Ecole fondamentale libre Saint-Joseph	Rue de la Haute Folie 32, 7062, Belgium
Ecole communale fondamentale Casteau-Neufvilles-Chaussée	Rue Centrale 8, 7063, Belgium
Ecole fondamentale libre du Sacré-Coeur	Rue des Sept Blasons 2, 7063, Belgium
Ecole fondamentale libre de l'Ange Gardien	Rue de l'Ange Gardien 3, 7070, Belgium
Ecole fondamentale libre Saint-Martin	Rue des Déportés 48, 7070, Belgium
Ecole fondamentale paroissiale Saint-Joseph	Rue de la Cense du Roi 15, 7070, Belgium
Ecole communale fondamentale du Roeulx	Rue du Coron 9, 7070, Belgium
Groupe scolaire fondamental communal d'Eugies-Sars	Rue du Centre 110, 7080, Belgium
Ecole fondamentale libre - Institut Saint-Joseph	Rue Sainte-Philomène 6, 7080, Belgium
Ecole fondamentale libre Sainte-Waudru	Rue des Soeurs de la Providenc, 1, 7080, Belgium
Groupe scolaire communal de Calmette	Place Calmette 1, 7080, Belgium
Groupe scolaire communal de La Victoire	Rue de la Victoire 10, 7080, Belgium
Ecole fondamentale Sainte Marie	Rue de la Libération 38, 7080, Belgium
Groupe scolaire communal de La Libération	Rue de la Libération 65, 7080, Belgium
Ecole fondamentale annexée Braine-le-Comte	Rue de Mons 60, 7090, Belgium
Ecole fondamentale communale de Ronquières	Rue d'Henripont 145, 7090, Belgium
Ecole fondamentale libre Notre-Dame de Bonne-Espérance - Cycle 2,5-8	Rue des Postes 99, 7090, Belgium
Ecole maternelle libre Notre-Dame	Avenue de la Houssière 70, 7090, Belgium
Ecole primaire libre Notre-Dame	Rue Père Damien 12, 7090, Belgium
Ecole primaire libre Notre-Dame de Bonne Espérance	Rue des Postes 101, 7090, Belgium
Ecole fondamentale communale d'Hennuyères	Rue du Planois 83, 7090, Belgium
Ecole fondamentale communale de Steenkerque	Rue Turenne 4, 7090, Belgium
Ecole fondamentale communale de Haine-Saint-Paul Redemont et Place Caffet	Rue Maurice Denuit 21, 7100, Belgium
Ecole fondamentale communale de Jolimont	Rue des Ecoles 52, 7100, Belgium
Ecole fondamentale communale R. François	Rue Alphonse Parent 20, 7100, Belgium
Ecole fondamentale annexée La Louvière	Rue de Bouvy 38, 7100, Belgium
Ecole fondamentale communale	Place Maugrétout 11, 7100, Belgium
Ecole fondamentale communale de Baume	Rue de Baume 48, 7100, Belgium
Ecole fondamentale communale de Besonrieux	Rue de Mignault 30, 7100, Belgium
Ecole fondamentale communale du Bocage	Rue Victor Boch 2, 7100, Belgium
Ecole fondamentale libre	Rue Achille Chavée 56, 7100, Belgium
Ecole fondamentale libre Sacré-Coeur - Soleil Levant	Rue Parmentier 23, 7100, Belgium
Ecole fondamentale libre Saint-Antoine	Rue Faignart 28, 7100, Belgium
Ecole fondamentale libre Saint-Ghislain et Sainte-Barbe	Chaussée de Mons 20, 7100, Belgium
Ecole fondamentale libre Sainte-Marie	Rue de l'Olive 1, 7100, Belgium
Ecole primaire Sainte-Marie B	Rue de l'Olive 5, 7100, Belgium
Ecole primaire libre Institut Sainte-Marie A	Rue de Bouvy 35, 7100, Belgium
Institut fondamental Saint-Joseph	Rue Gustave Boël 55, 7100, Belgium
Ecole fondamentale communale	Rue des Briqueteries 1, 7100, Belgium
Ecole fondamentale libre de Saint-Vaast	Rue du Four à Chaux 15, 7100, Belgium
Ecole fondamentale communale	Place de Trivières 25, 7100, Belgium
Ecole fondamentale communale	Rue Eugène Valentin 22, 7110, Belgium
Ecoles fondamentales libres Houdeng-Aimeries - Bois-du-Luc	Rue Jean Louthe 11, 7110, Belgium
Ecole fondamentale communale	Rue de l'Abattoir 36, 7110, Belgium
Ecole fondamentale libre Saint-Donat	Rue Cardinal Mercier 17, 7110, Belgium
Ecole maternelle communale autonome	Rue Trieu-à-Vallée 203, 7110, Belgium
Ecole fondamentale communale du Centre	Chaussée Paul Houtart 316, 7110, Belgium
Ecole fondamentale libre	Rue du Roeulx 23, 7110, Belgium
Ecole communale fondamentale - Groupe scolaire de Strépy - Boussoit	Rue des Canadiens 1-3, 7110, Belgium
Ecole fondamentale communale	Place de Bracquegnies 1, 7110, Belgium
Ecole fondamentale communale	Rue de Nivelles 155, 7110, Belgium
Ecole fondamentale communale	Chaussée Brunehault 234, 7120, Belgium
Ecole fondamentale libre Saint-Joseph	Rue Grande 28, 7120, Belgium
Ecole primaire libre Bonne-Espérance	Rue Grégoire Jurion 22, 7120, Belgium
Ecole fondamentale annexée Binche	Rue de Maromme 120, 7130, Belgium
Ecole fondamentale libre Institut du Sacré-Coeur	Avenue de Burlet 12, 7130, Belgium
Ecole fondamentale libre Le Petit Collège	Rue des Masures 21, 7130, Belgium
Ecole primaire annexée à l'Athénée Royal de Binche	Pl des Droits de l'Homme 16, 7130, Belgium
Ecole communale fondamentale Binche III	Rue de Clerfayt 33, 7131, Belgium
Ecole communale fondamentale Binche IV	Rue des Ecoles 9, 7133, Belgium
Ecole communale fondamentale Binche VI	Rue Salvador Allende 63, 7134, Belgium
Ecole fondamentale libre Leval-Trahegnies	Place René Anème 14, 7134, Belgium
Ecole communale fondamentale Binche I	Rue Alphonse Gravis 53, 7134, Belgium
Ecole communale fondamentale Binche II	Rue Joseph Wauters 141, 7134, Belgium
Ecole communale fondamentale Binche V	Place de Ressaix 7, 7134, Belgium
Ecole fondamentale libre	Rue des Primevères 2, 7134, Belgium
Ecole fondamentale libre de l'Enfant Jésus	Rue Argentin 22, 7140, Belgium
Ecole fondamentale provinciale d'application	Rue de l'Enseignement 14, 7140, Belgium
Ecole primaire communale	Place Franklin Roosevelt 18, 7140, Belgium
Ecole communale des Trieux	Rue des Ecoles 32 1, 7141, Belgium
Ecole communale du Centre	Place de Carnières 15A, 7141, Belgium
Ecole fondamentale libre Sainte-Thérèse et Saint-Joseph	Place de Carnières 26, 7141, Belgium
Ecole fondamentale communale	Rue de la Résistance ,, 7160, Belgium
Ecole fondamentale communale	Avenue Lamarche 34B, 7160, Belgium
Ecole fondamentale communale	Rue des Ecoles 4, 7160, Belgium
Ecole fondamentale libre Moi de Chapelle-lez-Herlaimont	Rue Emile Vandervelde 17, 7160, Belgium
Ecole fondamentale communale	Place Albert Ier ,, 7160, Belgium
Ecole communale Coq-Cau-Bois	Rue Eugène Coquereau 47, 7170, Belgium
Ecole communale fondamentale	Rue Valéry Happe 2, 7170, Belgium
Ecole communale fondamentale	Place Albert Ier 1B, 7170, Belgium
Ecole fondamentale libre	Place Albert Ier 7, 7170, Belgium
Ecole Pascal Hoyaux	Ruelle Vanhulst 15, 7170, Belgium
Ecole communale maternelle autonome	Rue Léonard 24, 7170, Belgium
Ecole communale fondamentale	Rue Delval ,, 7170, Belgium
Ecole fondamentale libre Saint-Antoine	Grand'Rue 79, 7170, Belgium
Ecole communale de Seneffe	Rue de Buisseret 19, 7180, Belgium
Ecole fondamentale libre Saints Cyr et Julitte	Rue Général Leman 6, 7180, Belgium
Ecole fondamentale communale	Rue des Ecoles 10, 7181, Belgium
Ecole communale de Familleureux	Rue Ferrer 106, 7181, Belgium
Ecole fondamentale communale	Chaussée de Marche 27, 7181, Belgium
Ecole fondamentale libre paroissiale de Feluy	Chaussée de Familleureux 8, 7181, Belgium
Ecole fondamentale communale de Marche	Rue de l'Avedelle 152, 7190, Belgium
Ecole communale fondamentale Odenat Bouton	Rue de Soignies 1, 7190, Belgium
Ecole fondamentale communale Ecole du Sud	Rue Arthur Pouplier 46-48, 7190, Belgium
Ecole fondamentale libre Sacré-Coeur - Saint-Géry	Rue Anselme Mary 13, 7190, Belgium
Ecole fondamentale libre Saint-Rémy	Rue de l'Eglise 22-24, 7190, Belgium
Ecole fondamentale communale de L'Alliance	Rue de l'Alliance 19, 7300, Belgium
Ecole fondamentale communale du Centre-Boussu	Rue Neuve 24, 7300, Belgium
Ecole fondamentale communale du Foyer moderne	Quartier de Robertmont 1, 7300, Belgium
Ecole fondamentale libre Collège Sainte-Marie	Rue Jules Bonaventure 10, 7300, Belgium
Ecole fondamentale libre Saint-Charles	Place Saint-Charles 30A, 7300, Belgium
Ecole fondamentale libre Saint-Géry	Allée de la Motte 5, 7300, Belgium
Ecole fondamentale communale de La Chapelle	Rue de Binche 80, 7301, Belgium
Ecole fondamentale communale du Centre - Hornu	Rue de Mot 110, 7301, Belgium
Ecole fondamentale communale du Grand Hornu	Rue de Mons 202, 7301, Belgium
Ecole fondamentale communale de Bernissart-Harchies	Rue Lotard 16, 7320, Belgium
Ecole fondamentale communale	Rue des Ecoles 26, 7321, Belgium
Ecole fondamentale libre subventionnée	Rue de Basècles 1, 7321, Belgium
