name	address
Ecole fondamentale libre - Institut Saint-Joseph	Rue Sainte-Philomène 6, 7080 FRAMERIES, Belgium
Ecole fondamentale libre Sainte-Waudru	Rue des Soeurs de la Providence 1, 7080 FRAMERIES, Belgium
Groupe scolaire communal de Calmette	Place Calmette 1, 7080 FRAMERIES, Belgium
Groupe scolaire communal de La Victoire	Rue de la Victoire 10, 7080 FRAMERIES, Belgium
Ecole fondamentale Sainte Marie	Rue de la Libération 38, 7080 LA BOUVERIE, Belgium
Groupe scolaire communal de La Libération	Rue de la Libération 65, 7080 LA BOUVERIE, Belgium
Ecole fondamentale annexée Braine-le-Comte	Rue de Mons 60, 7090 BRAINE-LE-COMTE, Belgium
Ecole fondamentale communale de Ronquières	Rue d'Henripont 145, 7090 BRAINE-LE-COMTE, Belgium
Ecole fondamentale libre Notre-Dame de Bonne-Espérance - Cycle 2,5-8	Rue des Postes 99, 7090 BRAINE-LE-COMTE, Belgium
Ecole maternelle libre Notre-Dame	Avenue de la Houssière 70, 7090 BRAINE-LE-COMTE, Belgium
Ecole primaire libre Notre-Dame	Rue Père Damien 12, 7090 BRAINE-LE-COMTE, Belgium
Ecole primaire libre Notre-Dame de Bonne Espérance	Rue des Postes 101, 7090 BRAINE-LE-COMTE, Belgium
Ecole fondamentale communale d'Hennuyères	Rue du Planois 83, 7090 HENNUYERES, Belgium
Ecole fondamentale communale de Steenkerque	Rue Turenne 4, 7090 STEENKERQUE, Belgium
Ecole fondamentale communale de Haine-Saint-Paul Redemont et Place Caffet	Rue Maurice Denuit 21, 7100 HAINE-SAINT-PAUL, Belgium
Ecole fondamentale communale de Jolimont	Rue des Ecoles 52, 7100 HAINE-SAINT-PAUL, Belgium
Ecole fondamentale communale R. François	Rue Alphonse Parent 20, 7100 HAINE-SAINT-PIERRE, Belgium
Ecole fondamentale annexée La Louvière	Rue de Bouvy 38, 7100 LA LOUVIERE, Belgium
Ecole fondamentale communale	Place Maugrétout 11, 7100 LA LOUVIERE, Belgium
Ecole fondamentale communale de Baume	Rue de Baume 48, 7100 LA LOUVIERE, Belgium
