name	lat	long
Ecole maternelle communale autonome	50.49538769999999	4.1509218
Ecole fondamentale communale du Centre	50.48787530000001	4.155309100000001
Ecole fondamentale libre	50.4602541	4.0985995
Ecole communale fondamentale - Groupe scolaire de Strépy - Boussoit	50.4605002	4.1132366
Ecole fondamentale communale	50.4751999	4.1216938
Ecole fondamentale communale	50.4697482	4.1226514
Ecole fondamentale communale	50.3977199	4.09937
Ecole fondamentale libre Saint-Joseph	50.3986568	4.0974004
Ecole primaire libre Bonne-Espérance	50.3871384	4.1405153
Ecole fondamentale annexée Binche	50.41417149999999	4.1731115
Ecole fondamentale libre Institut du Sacré-Coeur	50.4110874	4.174589699999999
Ecole fondamentale libre Le Petit Collège	50.4101902	4.163764899999999
Ecole primaire annexée à l'Athénée Royal de Binche	50.4154864	4.1764101
Ecole communale fondamentale Binche III	50.4133028	4.149494199999999
Ecole communale fondamentale Binche IV	50.3898541	4.2046823
Ecole communale fondamentale Binche VI	50.41860699999999	4.220178
Ecole fondamentale libre Leval-Trahegnies	50.4252007	4.2231779
Ecole communale fondamentale Binche I	50.4368293	4.149693500000001
Ecole communale fondamentale Binche II	50.4333101	4.182646099999999
Ecole communale fondamentale Binche V	50.4159314	4.1908233
Ecole fondamentale libre	50.43076629999999	4.1940928
Ecole fondamentale libre de l'Enfant Jésus	50.4546798	4.2450787
Ecole fondamentale provinciale d'application	50.4589959	4.2471295
Ecole primaire communale	50.4534195	4.2395324
Ecole communale des Trieux	50.45019569999999	4.2618379
Ecole communale du Centre	50.44361259999999	4.254078499999999
Ecole fondamentale libre Sainte-Thérèse et Saint-Joseph	50.4427306	4.2545717
Ecole fondamentale communale	50.43959	4.2986464
Ecole fondamentale communale	50.47262	4.276975999999999
Ecole fondamentale communale	50.4667676	4.2845764
Ecole fondamentale libre Moi de Chapelle-lez-Herlaimont	50.4724777	4.2878739
Ecole fondamentale communale	50.4957716	4.2855872
Ecole communale Coq-Cau-Bois	50.4803991	4.2167341
Ecole communale fondamentale	50.4943743	4.2109231
Ecole communale fondamentale	50.4903011	4.2271392
Ecole fondamentale libre	50.4904618	4.228839
Ecole Pascal Hoyaux	50.4752754	4.2391987
Ecole communale maternelle autonome	50.475748	4.2390678
Ecole communale fondamentale	50.5016078	4.2428406
Ecole fondamentale libre Saint-Antoine	50.5018101	4.2338847
Ecole communale de Seneffe	50.5303456	4.2543333
Ecole fondamentale libre Saints Cyr et Julitte	50.5293103	4.2574251
Ecole fondamentale communale	50.5696939	4.2749144
Ecole communale de Familleureux	50.51783	4.200285500000001
Ecole fondamentale communale	50.5618203	4.248734799999999
Ecole fondamentale libre paroissiale de Feluy	50.5611836	4.2494914
Ecole fondamentale communale de Marche	50.548399	4.1811414
Ecole communale fondamentale Odenat Bouton	50.5722099	4.1737594
Ecole fondamentale communale Ecole du Sud	50.5625289	4.1530809
Ecole fondamentale libre Sacré-Coeur - Saint-Géry	50.56195959999999	4.149867299999999
Ecole fondamentale libre Saint-Rémy	50.57221939999999	4.1756666
Ecole fondamentale communale de L'Alliance	50.412709	3.796369
Ecole fondamentale communale du Centre-Boussu	50.4326439	3.7949582
Ecole fondamentale communale du Foyer moderne	50.4257947	3.7991392
Ecole fondamentale libre Collège Sainte-Marie	50.434816	3.796275399999999
Ecole fondamentale libre Saint-Charles	50.41149170000001	3.7805881
Ecole fondamentale libre Saint-Géry	50.43478200000001	3.794618
Ecole fondamentale communale de La Chapelle	50.428734	3.830883399999999
Ecole fondamentale communale du Centre - Hornu	50.4338381	3.829207499999999
Ecole fondamentale communale du Grand Hornu	50.43802820000001	3.834248
Ecole communale Jean-Rolland	50.4474762	3.8196084
Ecole fondamentale annexée Saint-Ghislain	50.443757	3.8176109
Ecole fondamentale libre - Institut Saint-Joseph	50.446129	3.8181054
Groupe scolaire Grand Jardin	50.450298	3.822622
Ecole communale de Douvrain	50.4703157	3.8424201
Ecole fondamental libre La Sainte-Famille	50.48439279999999	3.8316411
Groupe scolaire communal de Baudour	50.480847	3.8349231
Ecole fondamentale libre Saint-Amand	50.50667379999999	3.78609
Groupe scolaire communal de Sirault	50.5063906	3.7837669
Ecole fondamentale libre Saint-Joseph	50.469386	3.8145609
Ecole fondamentale libre du Sacré-Coeur	50.4668162	3.8118542
Groupe scolaire communal fondamental de Tertre	50.466871	3.7994577
Ecole fondamentale libre - Institut Saint-François d'Assise	50.4827694	3.7637482
Ecole communale A. Libiez - Quesnoy Groupe scolaire n°5	50.3951703	3.8650642
Centre scolaire Saint-Michel de PATURAGES	50.4114448	3.8638118
Ecole communale Arthur Nazé-Alfred Busieau Groupe scolaire n°2	50.4020541	3.8536407
Ecole communale Cambry - Achille Delattre Abbaye Groupe scolaire n°3	50.4215951	3.8396677
Ecole communale Genin A Dieu Groupe scolaire n°4	50.4818722	3.8983775
Ecole communale Rampe Anfouette - Baille Cariotte - Groupe scolaire n°1	50.4015655	3.840989
Ecole fondamentale libre Les Cèdres	50.4034057	3.8341762
Ecole fondamentale libre Saint-François	50.4072399	3.8413624
Ecole fondamentale libre de Wasmes-Notre-Dame	50.4215291	3.8445898
Ecole communale fondamentale	50.4341399	3.6869993
Ecole communale fondamentale	50.4289591	3.738349
Ecole fondamentale libre	50.4297224	3.7393034
Ecole communale de l'Athénée	50.4018355	3.780340499999999
Ecole communale fondamentale de Moranfayt	50.39649439999999	3.788258099999999
Ecole communale fondamentale de Petit Dour	50.3795762	3.8148958
Ecole fondamentale libre La Sainte-Union	50.3985997	3.7753815
Ecole fondamentale libre Saint-Victor - Saint-Joseph	50.398089	3.7834223
Ecole communale fondamentale d'Elouges	50.40112329999999	3.7510921
Ecole communale fondamentale de Wiheries	50.38660729999999	3.7549976
Ecole communale de Baisieux	50.3881984	3.696142
Ecole communale fondamentale	50.408153	3.6844299
Ecole fondamentale libre Saint-Jean Bosco	50.40784009999999	3.6800633
La Ribambelle - Ecole fondamentale libre du Centre scolaire Don Bosco	50.4071866	3.6828613
Ecole communale fondamentale La Petite Honnelle	50.3581	3.77132
Ecole communale Emile Verhaeren	50.33259899999999	3.6929964
Ecole communale - Groupe scolaire 2	50.4513474	3.8560213
Ecole communale - Groupe scolaire 3	50.428141	3.853034
Ecole communale - Groupe scolaire 4	50.4335847	3.8668536
Ecole communale - Groupe scolaire 5	50.44467909999999	3.8456956
Ecole fondamentale communale - Groupe scolaire 1	50.4400774	3.8595849
Ecole fondamentale libre Notre-Dame	50.4436139	3.8624912
Ecole fondamentale libre Sainte-Bernadette	50.4235678	3.8677667
Ecole fondamentale communale	50.5575599	3.895594099999999
