name	lat	long
COLLEGE NOTRE-DAME	50.6088879	3.3802421
INSTITUT D'ENSEIGNEMENT SECONDAIRE PROVINCIAL PARAMEDICAL	50.6011128	3.4038775
INSTITUT DES TECHNIQUES HOSPITALIERES (I.T.E.H.O) JEANNE D'ARC	50.611409699999996	3.384226776813647
INSTITUT DES URSULINES - LA MADELEINE	50.607475199999996	3.3827942931324433
INSTITUT DON BOSCO	50.6066103	3.3799162
INSTITUT NOTRE-DAME	50.60749595	3.387925868770524
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE	50.6066103	3.3799162
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE VAL - ITMA	50.6052991	3.3758931
INSTITUT SAINT-ANDRE	50.64105855	3.344661654624863
INSTITUT SAINT-LUC	50.6370357	3.3515921
COLLEGE NOTRE-DAME DE LA TOMBE	50.6345877	3.3965461
INSTITUT DE LA SAINTE-UNION	50.6303327	3.383828
ATHENEE ROYAL PERUWELZ	50.5133264	3.5928952
INSTITUT SAINT-CHARLES	50.511004	3.5954863
ATHENEE ROYAL THOMAS EDISON MOUSCRON	50.7403635	3.2200768
COLLEGE SAINTE-MARIE	50.7439812	3.2218656
COLLEGE SAINTE-MARIE D.O.A.	50.7443198	3.2160072
COLLEGE TECHNIQUE SAINT-HENRI	50.747176	3.2225053
INSTITUT DES FRERES MARISTES	50.7405023	3.2159652
INSTITUT DU SACRE-COEUR	50.7426073	3.2107301
INSTITUT COMMUNAL D'ENSEIGNEMENT TECHNIQUE	50.7239819	3.2947335
INSTITUT SAINT-CHARLES	50.7280815	3.3052319
Ecole secondaire à pédagogie active	50.7115319	3.2472612
ATHENEE ROYAL FERNAND JACQUEMIN	50.76830645	2.991784000661876
COLLEGE DE LA LYS	50.7774212	2.994205
INSTITUT SAINT-HENRI	50.772624	3.0031232
ATHENEE ROYAL ATH	50.6280681	3.7806105
COLLEGE SAINT-JULIEN	50.6273169	3.7785505
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE	50.6205993	3.7724711
INSTITUT SAINT-FRANCOIS DE SALES	50.6308308	3.7760446
INSTITUT TECHNIQUE	50.6302612	3.7731311
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE RENEE JOFFROY	50.6189846	3.7609114
ATHENEE ROYAL D'ENGHIEN	50.6925582	4.0354537
COLLEGE SAINT-AUGUSTIN	50.685487	4.0080338
INSTITUT SAINT-AUGUSTIN	50.685487	4.0080338
MAISON SAINT-AUGUSTIN (DOA)	50.685487	4.0080338
ATHENEE ROYAL RENE MAGRITTE	50.7112071	3.8267123
COLLEGE VISITATION - LA BERLIERE	50.7121621	3.8306222
ATHENEE PROVINCIAL	50.5992145	3.6210899
ATHENEE ROYAL LUCIENNE TELLIER	50.6945916	3.5668988
La Maison des Phénix - Ecole secondaire	50.5943335	3.8525392
